model	data	val_acc	val_f1
bert-large-cased	mnli_matched	0.8581762608252674	0.8580896101934863
bert-large-cased	mnli_mismatched	0.8616761594792515	0.8615003816926737
bert-large-cased	mrpc	0.8014705882352942	0.7924544640191102
bert-large-cased	qnli	0.9157971810360608	0.9157918597866315
bert-large-cased	qqp	0.8999505317833292	0.9005037566195273
bert-large-cased	rte	0.6101083032490975	0.6101794439507254
bert-large-cased	sst	0.9288990825688074	0.9289046937023387
meaning-match-bert-large	mnli_matched	0.8570555272542028	0.8569447203896595
meaning-match-bert-large	mnli_mismatched	0.8573026851098454	0.8570722297548412
meaning-match-bert-large	mrpc	0.8259803921568627	0.8228871601643049
meaning-match-bert-large	qnli	0.917993776313381	0.9179783598368879
meaning-match-bert-large	qqp	0.9005688844917141	0.9011821365048808
meaning-match-bert-large	rte	0.6028880866425993	0.6011951358540757
meaning-match-bert-large	sst	0.9185779816513762	0.918571875184801
meaning-match-roberta-large	mnli_matched	0.9020886398369842	0.901812302408743
meaning-match-roberta-large	mnli_mismatched	0.8965622457282343	0.8960241446624049
meaning-match-roberta-large	mrpc	0.8921568627450981	0.8919281775210084
meaning-match-roberta-large	qnli	0.9449020684605528	0.9449024746192971
meaning-match-roberta-large	qqp	0.9093494929507792	0.9097475509261762
meaning-match-roberta-large	rte	0.8339350180505415	0.8338611534588842
meaning-match-roberta-large	sst	0.9575688073394495	0.9575718769556172
roberta-large	mnli_matched	0.9025980641874681	0.9024081354206673
roberta-large	mnli_mismatched	0.8974776240846216	0.8972272686731542
roberta-large	mrpc	0.8651960784313726	0.8653353087559446
roberta-large	qnli	0.943437671609006	0.9434346770850921
roberta-large	qqp	0.9130348750927529	0.9131518259923393
roberta-large	rte	0.7725631768953068	0.7709288643430455
roberta-large	sst	0.9575688073394495	0.9575656250963048
