model	data	val_acc	val_f1
bert-base-cased	snli	0.900934769355822	0.9006625903456731
bert-base-cased	snli_neg	0.4766666666666667	0.46979739804317555
bert-large-cased	cola	0.6044964516136625	0.8317305552626074
bert-large-cased	mnli_matched	0.8502292409577178	0.8499998970645898
bert-large-cased	mnli_mismatched	0.8460130187144019	0.8456721285696599
bert-large-cased	mrpc	0.803921568627451	0.7866205305651672
bert-large-cased	qnli	0.9168954786747209	0.916889630899898
bert-large-cased	qqp	0.8957704674746475	0.8956951330315899
bert-large-cased	rte	0.6931407942238267	0.6916700357683323
bert-large-cased	sst	0.9208715596330275	0.9208781163502089
electra-large-discriminator	cola	0.6792126156603279	0.8638925332266407
electra-large-discriminator	mnli_matched	0.9074885379521141	0.9072629677187956
electra-large-discriminator	mnli_mismatched	0.9072416598860863	0.9069948764842054
electra-large-discriminator	mrpc	0.8676470588235294	0.8658121271615192
electra-large-discriminator	qnli	0.9460003660992129	0.9460012526955847
electra-large-discriminator	qqp	0.9058125154588177	0.9064472206851342
electra-large-discriminator	rte	0.8700361010830325	0.8698214480410923
electra-large-discriminator	sst	0.9678899082568807	0.9678910909676954
meaning-match-bert-base	mnli_matched	0.826286296484972	0.8264363508669514
meaning-match-bert-base	mnli_mismatched	0.8314686737184703	0.8314640634791569
meaning-match-bert-base	mnli_neg	0.6113333333333333	0.6102970640125572
meaning-match-bert-base	snli	0.9053038000406421	0.905318285178029
meaning-match-bert-base	snli_neg	0.48133333333333334	0.46943566161163613
meaning-match-bert-large	cola	0.6161809711609865	0.837322461150466
meaning-match-bert-large	mnli_matched	0.8556291390728477	0.8556769742589094
meaning-match-bert-large	mnli_mismatched	0.855166802278275	0.8549931775081346
meaning-match-bert-large	mnli_neg	0.6326666666666667	0.6259002836251458
meaning-match-bert-large	mrpc	0.8161764705882353	0.8155866624724756
meaning-match-bert-large	qnli	0.9136005857587406	0.9135552873103917
meaning-match-bert-large	qqp	0.9008656937917388	0.9014437534815286
meaning-match-bert-large	rte	0.6606498194945848	0.6430806391288226
meaning-match-bert-large	snli	0.9106888843730949	0.9103103250431523
meaning-match-bert-large	snli_neg	0.498	0.4680766981384052
meaning-match-bert-large	sst	0.9277522935779816	0.9277423112382874
meaning-match-electra-large	cola	0.6952646145949414	0.8705927587755168
meaning-match-electra-large	mnli_matched	0.9066734589913398	0.9065575320019189
meaning-match-electra-large	mnli_mismatched	0.9069365337672904	0.9067336855840151
meaning-match-electra-large	mrpc	0.8872549019607843	0.8870158219537815
meaning-match-electra-large	qnli	0.9432546220025627	0.943249083657833
meaning-match-electra-large	qqp	0.9180311649765026	0.9187164406246509
meaning-match-electra-large	rte	0.8664259927797834	0.8664504271558183
meaning-match-electra-large	sst	0.9644495412844036	0.9644502427914314
meaning-match-roberta-large	cola	0.5956649094312695	0.8262937911442063
meaning-match-roberta-large	mnli_matched	0.906062149770759	0.9059397821083233
meaning-match-roberta-large	mnli_mismatched	0.8995117982099268	0.8992214760017794
meaning-match-roberta-large	mrpc	0.8602941176470589	0.8544311997926924
meaning-match-roberta-large	qnli	0.943437671609006	0.9434386002811376
meaning-match-roberta-large	qqp	0.9092010883007667	0.9097392489107962
meaning-match-roberta-large	rte	0.851985559566787	0.8512761349000192
meaning-match-roberta-large	sst	0.9495412844036697	0.9495452664984341
roberta-large	cola	0.6418456130468606	0.848301628949642
roberta-large	mnli_matched	0.9018848700967906	0.901639103064202
roberta-large	mnli_mismatched	0.9002237591537836	0.8998966528758003
roberta-large	mrpc	0.8872549019607843	0.8874857579999349
roberta-large	qnli	0.9458173164927696	0.9458098724916667
roberta-large	qqp	0.9140984417511748	0.9141467837923568
roberta-large	rte	0.7833935018050542	0.7810538297040631
roberta-large	sst	0.9564220183486238	0.9564254574304658
